               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066214,              0.0218,            0.051046,             0.38477,             0.46046,             0.42214,             0.19705,            0.040629,            0.011692,            0.035506,            0.070082,           0.0033242,           0.0033242
                   1,             0.05275,            0.010952,            0.021996,             0.64963,             0.73087,             0.69604,             0.38015,            0.039734,           0.0072988,            0.014228,            0.040071,           0.0066466,           0.0066466
                   2,            0.044049,           0.0085617,           0.0096713,             0.76081,              0.6802,             0.74301,             0.43768,            0.035285,           0.0088859,            0.020654,            0.010049,           0.0099579,           0.0099579
                   3,            0.036763,           0.0080761,           0.0072424,             0.87737,             0.59507,              0.6937,             0.43869,            0.037102,           0.0097255,            0.021929,           0.0099505,           0.0099505,           0.0099505
                   4,            0.031535,           0.0073984,           0.0054739,             0.97966,             0.90496,             0.94971,             0.68701,             0.02227,            0.005525,           0.0051681,           0.0099505,           0.0099505,           0.0099505
                   5,            0.028439,           0.0067999,           0.0043466,             0.97831,             0.92422,              0.9495,             0.69299,            0.020673,           0.0046115,           0.0030068,            0.009934,            0.009934,            0.009934
                   6,            0.026291,           0.0065415,           0.0037198,             0.96283,             0.92837,             0.96612,             0.70783,            0.020194,           0.0045255,           0.0024781,           0.0099175,           0.0099175,           0.0099175
                   7,            0.024884,           0.0063336,             0.00323,             0.98215,             0.94574,             0.97067,             0.74323,             0.01786,           0.0041403,           0.0021412,            0.009901,            0.009901,            0.009901
                   8,            0.024207,           0.0061118,           0.0031544,             0.96854,             0.91536,             0.95685,             0.73436,            0.018834,           0.0044662,           0.0033209,           0.0098845,           0.0098845,           0.0098845
                   9,            0.023148,           0.0059683,           0.0027898,             0.96523,             0.88338,             0.94135,             0.71371,            0.018575,            0.011079,           0.0058308,            0.009868,            0.009868,            0.009868
                  10,            0.022736,           0.0059338,           0.0028078,             0.98246,             0.92556,             0.96881,             0.77352,            0.016825,           0.0041048,           0.0021414,           0.0098515,           0.0098515,           0.0098515
                  11,            0.022068,           0.0058291,           0.0025753,              0.9852,             0.94328,              0.9657,             0.74509,            0.017435,           0.0039121,           0.0018761,            0.009835,            0.009835,            0.009835
                  12,            0.021492,           0.0056303,           0.0023462,             0.97811,             0.94708,             0.96793,             0.78213,             0.01503,           0.0037843,           0.0015343,           0.0098185,           0.0098185,           0.0098185
                  13,            0.020919,           0.0054944,           0.0021363,             0.98898,             0.95791,             0.97989,             0.81154,            0.014339,           0.0038708,           0.0014527,            0.009802,            0.009802,            0.009802
                  14,            0.020739,           0.0055064,           0.0021877,               0.985,             0.96214,             0.97501,             0.78987,            0.014674,           0.0037077,           0.0015208,           0.0097855,           0.0097855,           0.0097855
                  15,             0.02053,           0.0053505,           0.0019414,              0.9816,             0.94938,             0.97106,             0.80065,            0.014026,           0.0035718,            0.001548,            0.009769,            0.009769,            0.009769
                  16,            0.020188,           0.0054244,           0.0022301,             0.98343,             0.93122,             0.96778,             0.79751,            0.014465,           0.0038242,           0.0019475,           0.0097525,           0.0097525,           0.0097525
                  17,            0.019993,           0.0054466,           0.0020308,             0.98061,             0.95497,             0.97304,             0.80743,            0.013638,           0.0035357,           0.0013497,            0.009736,            0.009736,            0.009736
                  18,            0.019715,           0.0052053,           0.0019971,             0.97945,              0.9417,             0.97488,             0.78435,            0.014604,           0.0036614,           0.0015864,           0.0097195,           0.0097195,           0.0097195
                  19,            0.019638,           0.0053634,           0.0019962,             0.98732,             0.96312,             0.98465,              0.8113,            0.014618,            0.003717,           0.0013461,            0.009703,            0.009703,            0.009703
                  20,            0.019196,             0.00521,            0.001834,             0.99266,             0.96368,              0.9855,             0.80857,            0.014399,           0.0036364,           0.0012518,           0.0096865,           0.0096865,           0.0096865
                  21,            0.019159,            0.005223,           0.0020171,             0.99232,             0.94816,             0.97868,             0.80759,            0.013525,             0.00348,           0.0012421,             0.00967,             0.00967,             0.00967
                  22,            0.019011,           0.0051439,           0.0018613,             0.98323,             0.96836,             0.98203,             0.81646,            0.013228,           0.0034656,           0.0011782,           0.0096535,           0.0096535,           0.0096535
                  23,             0.01869,           0.0051395,           0.0016651,             0.98566,             0.95887,             0.97752,             0.82538,             0.01267,           0.0033856,           0.0011034,            0.009637,            0.009637,            0.009637
                  24,            0.018451,           0.0050759,           0.0017318,             0.98739,             0.96339,             0.98252,             0.83648,            0.012566,           0.0034261,           0.0012341,           0.0096205,           0.0096205,           0.0096205
                  25,            0.018801,           0.0051775,           0.0019391,             0.98174,             0.95445,             0.97647,             0.81364,            0.013472,           0.0034393,           0.0011852,            0.009604,            0.009604,            0.009604
                  26,            0.018704,           0.0050584,           0.0017265,             0.97387,             0.95595,             0.97889,             0.81016,            0.012865,           0.0034083,           0.0010551,           0.0095875,           0.0095875,           0.0095875
                  27,            0.018361,           0.0051005,           0.0016025,               0.983,             0.96577,             0.98792,             0.83743,            0.011629,           0.0031775,            0.001034,            0.009571,            0.009571,            0.009571
                  28,            0.018407,           0.0050967,           0.0016733,             0.97392,             0.95343,             0.97385,             0.81118,            0.013403,           0.0034133,           0.0010489,           0.0095545,           0.0095545,           0.0095545
                  29,            0.017879,           0.0050167,           0.0016223,              0.9882,             0.96647,             0.98653,             0.84088,            0.011659,           0.0031992,           0.0010704,            0.009538,            0.009538,            0.009538
                  30,             0.01785,           0.0049748,           0.0015805,             0.97448,             0.95736,             0.98008,             0.81339,            0.012532,           0.0032344,           0.0010855,           0.0095215,           0.0095215,           0.0095215
                  31,            0.018014,           0.0050281,            0.001778,              0.9787,             0.97203,             0.98515,             0.86457,            0.010644,           0.0030976,          0.00099829,            0.009505,            0.009505,            0.009505
                  32,            0.017731,           0.0048955,           0.0015323,             0.97579,             0.96734,              0.9805,              0.8532,             0.01101,           0.0031209,           0.0009536,           0.0094885,           0.0094885,           0.0094885
                  33,            0.017407,           0.0049428,           0.0015652,             0.98334,             0.95917,             0.98147,              0.8492,            0.011215,           0.0030928,           0.0010829,            0.009472,            0.009472,            0.009472
                  34,            0.017573,            0.004874,           0.0014686,             0.97856,             0.96664,             0.98466,             0.84771,            0.011108,           0.0031697,          0.00090346,           0.0094555,           0.0094555,           0.0094555
                  35,            0.017476,           0.0048541,           0.0014661,             0.98614,             0.94796,             0.97421,             0.83633,            0.011533,           0.0031071,           0.0012234,            0.009439,            0.009439,            0.009439
                  36,            0.017423,           0.0048459,           0.0015651,             0.98769,             0.95932,             0.98494,             0.84904,            0.010737,           0.0031105,            0.001068,           0.0094225,           0.0094225,           0.0094225
                  37,            0.017209,           0.0048644,           0.0014164,             0.98401,             0.96988,             0.98665,              0.8571,            0.010539,           0.0029776,          0.00094586,            0.009406,            0.009406,            0.009406
                  38,             0.01728,           0.0048366,           0.0015342,             0.99177,             0.96375,             0.98048,             0.84042,            0.011137,             0.00303,          0.00086032,           0.0093895,           0.0093895,           0.0093895
                  39,            0.017186,           0.0048024,           0.0014614,             0.99157,             0.96265,             0.98691,              0.8516,            0.010842,           0.0029956,          0.00092717,            0.009373,            0.009373,            0.009373
                  40,            0.017053,           0.0047793,           0.0012173,             0.97838,             0.97493,             0.98463,             0.85544,            0.010779,            0.003019,          0.00089416,           0.0093565,           0.0093565,           0.0093565
                  41,            0.016955,           0.0047678,           0.0015152,             0.98945,             0.97336,             0.98789,              0.8586,            0.010612,           0.0029766,          0.00095903,             0.00934,             0.00934,             0.00934
                  42,            0.017392,           0.0049301,           0.0017425,             0.99165,             0.96767,             0.98526,             0.84846,            0.010889,           0.0030625,           0.0011645,           0.0093235,           0.0093235,           0.0093235
                  43,            0.017287,           0.0048729,           0.0017739,             0.99046,             0.96373,              0.9766,             0.83375,            0.011785,           0.0031138,          0.00082936,            0.009307,            0.009307,            0.009307
                  44,            0.016928,           0.0047812,           0.0013976,             0.99162,             0.96732,             0.98297,             0.85991,            0.010434,           0.0029081,          0.00090102,           0.0092905,           0.0092905,           0.0092905
                  45,             0.01701,           0.0047806,           0.0013978,             0.99241,             0.96643,             0.98396,             0.85109,            0.010856,           0.0029502,          0.00093708,            0.009274,            0.009274,            0.009274
                  46,            0.016557,           0.0046618,           0.0013123,             0.98362,             0.96569,             0.97841,             0.85299,            0.010635,           0.0029176,          0.00095072,           0.0092575,           0.0092575,           0.0092575
                  47,            0.016541,           0.0046834,           0.0014286,             0.98707,             0.97016,              0.9866,             0.85818,             0.01037,           0.0029703,          0.00085355,            0.009241,            0.009241,            0.009241
                  48,            0.016628,           0.0047163,           0.0014182,             0.98825,             0.97455,             0.98217,             0.85806,             0.01048,           0.0029231,          0.00081289,           0.0092245,           0.0092245,           0.0092245
                  49,            0.016654,           0.0047055,           0.0015464,             0.99059,             0.97219,             0.98663,             0.85612,            0.010377,           0.0029162,          0.00078303,            0.009208,            0.009208,            0.009208
                  50,            0.016547,           0.0046939,           0.0014399,             0.99037,             0.97062,             0.98806,             0.86492,            0.010123,           0.0028604,          0.00076348,           0.0091915,           0.0091915,           0.0091915
                  51,            0.016642,           0.0046593,           0.0014017,             0.98754,             0.97154,              0.9874,             0.86569,            0.010163,           0.0028886,          0.00075357,            0.009175,            0.009175,            0.009175
                  52,            0.016468,            0.004701,           0.0013462,             0.98931,             0.96787,              0.9836,             0.86086,            0.010457,           0.0029089,          0.00077384,           0.0091585,           0.0091585,           0.0091585
                  53,            0.016419,           0.0045705,            0.001214,             0.98949,             0.97085,             0.98484,              0.8637,            0.010265,           0.0028807,          0.00077005,            0.009142,            0.009142,            0.009142
                  54,            0.016345,           0.0045776,           0.0013442,              0.9912,             0.97303,             0.98522,             0.86985,           0.0097913,           0.0028427,          0.00074793,           0.0091255,           0.0091255,           0.0091255
                  55,            0.016208,           0.0046009,            0.001265,             0.98798,             0.96994,              0.9868,             0.86867,           0.0098281,           0.0027999,          0.00075087,            0.009109,            0.009109,            0.009109
                  56,             0.01618,           0.0046192,           0.0011913,             0.98891,             0.97294,             0.98642,             0.87025,            0.009945,            0.002793,          0.00079091,           0.0090925,           0.0090925,           0.0090925
                  57,            0.016478,           0.0047291,           0.0016811,             0.98967,             0.97373,             0.98838,             0.86883,           0.0098545,           0.0027582,          0.00081609,            0.009076,            0.009076,            0.009076
                  58,            0.016815,           0.0048981,           0.0017162,             0.99389,             0.96651,             0.98722,             0.86789,            0.010103,           0.0027756,          0.00080469,           0.0090595,           0.0090595,           0.0090595
                  59,            0.016631,           0.0046945,           0.0014551,             0.98864,             0.97121,             0.98598,             0.86613,            0.010054,           0.0027972,          0.00077452,            0.009043,            0.009043,            0.009043
                  60,            0.016127,           0.0046277,           0.0013185,             0.99258,             0.97311,             0.98706,             0.86345,            0.009988,            0.002805,          0.00076865,           0.0090265,           0.0090265,           0.0090265
                  61,            0.015915,           0.0044876,           0.0011934,              0.9933,             0.97428,             0.98805,             0.86663,           0.0099508,           0.0028014,          0.00079628,             0.00901,             0.00901,             0.00901
                  62,            0.015811,           0.0045186,            0.001102,             0.99213,             0.97628,             0.98995,             0.86826,           0.0099592,           0.0027915,          0.00076731,           0.0089935,           0.0089935,           0.0089935
                  63,            0.015883,           0.0044404,           0.0011923,             0.99184,             0.97544,             0.98773,             0.86705,           0.0099268,           0.0027992,          0.00074457,            0.008977,            0.008977,            0.008977
                  64,            0.015732,            0.004537,           0.0013806,             0.99276,             0.97642,             0.99015,             0.86843,           0.0097823,           0.0027499,          0.00081755,           0.0089605,           0.0089605,           0.0089605
                  65,            0.016173,           0.0046401,            0.001467,             0.99305,             0.97707,              0.9905,             0.87219,            0.009739,           0.0027254,           0.0008255,            0.008944,            0.008944,            0.008944
                  66,             0.01586,           0.0045325,           0.0013585,             0.99265,              0.9776,             0.98887,             0.87304,           0.0096295,           0.0027142,          0.00081048,           0.0089275,           0.0089275,           0.0089275
                  67,            0.015682,           0.0044071,           0.0012163,             0.99311,               0.976,             0.98864,             0.87576,           0.0094599,           0.0026718,          0.00077969,            0.008911,            0.008911,            0.008911
                  68,            0.015656,           0.0044983,           0.0012622,             0.99365,             0.97643,             0.98593,             0.87515,            0.009444,           0.0026549,          0.00074911,           0.0088945,           0.0088945,           0.0088945
                  69,            0.015881,            0.004582,           0.0013686,             0.99383,             0.97444,             0.98453,             0.87752,           0.0094663,           0.0026537,          0.00074651,            0.008878,            0.008878,            0.008878
                  70,            0.015753,           0.0045101,           0.0012504,             0.99423,             0.97446,             0.98462,             0.87556,           0.0095247,            0.002663,          0.00073169,           0.0088615,           0.0088615,           0.0088615
                  71,            0.015388,           0.0044733,             0.00111,             0.99429,             0.97468,             0.98445,             0.87487,           0.0094211,           0.0026519,          0.00072336,            0.008845,            0.008845,            0.008845
                  72,            0.015394,           0.0043835,           0.0011494,             0.99415,             0.97466,             0.98805,             0.87955,           0.0093737,           0.0026428,          0.00070843,           0.0088285,           0.0088285,           0.0088285
                  73,             0.01571,           0.0045405,           0.0014836,             0.99234,             0.97289,             0.98786,             0.88335,           0.0093281,           0.0026329,           0.0007107,            0.008812,            0.008812,            0.008812
                  74,            0.015758,           0.0045417,           0.0013654,             0.99208,             0.97286,             0.98768,             0.88057,           0.0094446,            0.002646,          0.00073052,           0.0087955,           0.0087955,           0.0087955
                  75,            0.015613,           0.0044755,           0.0012042,             0.99195,             0.97315,             0.98556,             0.87957,           0.0095098,           0.0026531,          0.00076083,            0.008779,            0.008779,            0.008779
                  76,            0.015382,           0.0044518,           0.0011856,             0.99376,             0.97556,             0.98794,             0.87946,           0.0094614,            0.002651,          0.00077189,           0.0087625,           0.0087625,           0.0087625
